20 Microns Limited,20MICRONS
21st Century Management Services Limited,21STCENMGM
360 ONE WAM LIMITED,360ONE
3i Infotech Limited,3IINFOLTD
3M India Limited,3MINDIA
3P Land Holdings Limited,3PLAND
5Paisa Capital Limited,5PAISA
63 moons technologies limited,63MOONS
A2Z Infra Engineering Limited,A2ZINFRA
AAA Technologies Limited,AAATECH
Aadhar Housing Finance Limited,AADHARHFC
Aakash Exploration Services Limited,AAKASH
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS
Aaron Industries Limited,AARON
Aartech Solonics Limited,AARTECH
Aarti Drugs Limited,AARTIDRUGS
Aarti Industries Limited,AARTIIND
Aarti Pharmalabs Limited,AARTIPHARM
Aarti Surfactants Limited,AARTISURF
Aarvee Denims & Exports Limited,AARVEEDEN
Aarvi Encon Limited,AARVI
Aavas Financiers Limited,AAVAS
Aban Offshore Limited,ABAN
ABB India Limited,ABB
Abbott India Limited,ABBOTINDIA
Aditya Birla Capital Limited,ABCAPITAL
Allied Blenders and Distillers Limited,ABDL
Aditya Birla Fashion and Retail Limited,ABFRL
A B Infrabuild Limited,ABINFRA
ABM International Limited,ABMINTLLTD
Aditya Birla Real Estate Limited,ABREL
Aditya Birla Sun Life AMC Limited,ABSLAMC
ACC Limited,ACC
Accelya Solutions India Limited,ACCELYA
Accuracy Shipping Limited,ACCURACY
Action Construction Equipment Limited,ACE
Ace Integrated Solutions Limited,ACEINTEG
Archean Chemical Industries Limited,ACI
Andhra Cements Limited,ACL
Allcargo Gati Limited,ACLGATI
Acme Solar Holdings Limited,ACMESOLAR
Adani Energy Solutions Limited,ADANIENSOL
Adani Enterprises Limited,ADANIENT
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Adani Power Limited,ADANIPOWER
ADF Foods Limited,ADFFOODS
Archidply Decor Limited,ADL
Ador Welding Limited,ADORWELD
Adroit Infotech Limited,ADROITINFO
Allied Digital Services Limited,ADSL
Advani Hotels & Resorts (India) Limited,ADVANIHOTR
Advanced Enzyme Technologies Limited,ADVENZYMES
Aegis Logistics Limited,AEGISLOG
Aeroflex Industries Limited,AEROFLEX
Aether Industries Limited,AETHER
Afcons Infrastructure Limited,AFCONS
Affle (India) Limited,AFFLE
Affordable Robotic & Automation Limited,AFFORDABLE
Akme Fintrade (India) Limited,AFIL
Abans Financial Services Limited,AFSL
Agarwal Industrial Corporation Limited,AGARIND
Dr. Agarwal's Health Care Limited,AGARWALEYE
AGI Greenpac Limited,AGI
Agi Infra Limited,AGIIL
Agri-Tech (India) Limited,AGRITECH
Agro Phos India Limited,AGROPHOS
AGS Transact Technologies Limited,AGSTRA
Ahlada Engineers Limited,AHLADA
Asian Hotels (East) Limited,AHLEAST
Ahluwalia Contracts (India) Limited,AHLUCONT
AIA Engineering Limited,AIAENG
Authum Investment & Infrastructure Limited,AIIL
Airan Limited,AIRAN
Airo Lam limited,AIROLAM
Ajanta Pharma Limited,AJANTPHARM
Ajax Engineering Limited,AJAXENGG
Ajmera Realty & Infra India Limited,AJMERA
Ajooni Biotech Limited,AJOONI
Akash Infra-Projects Limited,AKASH
Akg Exim Limited,AKG
AKI India Limited,AKI
Akshar Spintex Limited,AKSHAR
AksharChem India Limited,AKSHARCHEM
Aksh Optifibre Limited,AKSHOPTFBR
Akums Drugs and Pharmaceuticals Limited,AKUMS
Akzo Nobel India Limited,AKZOINDIA
Alankit Limited,ALANKIT
Albert David Limited,ALBERTDAVD
Alembic Limited,ALEMBICLTD
Alicon Castalloy Limited,ALICON
Alivus Life Sciences Limited,ALIVUS
Alkali Metals Limited,ALKALI
Alkem Laboratories Limited,ALKEM
Alkyl Amines Chemicals Limited,ALKYLAMINE
Allcargo Logistics Limited,ALLCARGO
Alldigi Tech Limited,ALLDIGI
Almondz Global Securities Limited,ALMONDZ
Alok Industries Limited,ALOKINDS
Alpa Laboratories Limited,ALPA
Alphageo (India) Limited,ALPHAGEO
Alps Industries Limited,ALPSINDUS
Amber Enterprises India Limited,AMBER
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR
Ambika Cotton Mills Limited,AMBIKCO
Ambuja Cements Limited,AMBUJACEM
AMD Industries Limited,AMDIND
Ami Organics Limited,AMIORG
Amj Land Holdings Limited,AMJLAND
Amines & Plasticizers Limited,AMNPLST
Amrutanjan Health Care Limited,AMRUTANJAN
Anand Rathi Wealth Limited,ANANDRATHI
Anant Raj Limited,ANANTRAJ
ANDHRA PAPER LIMITED,ANDHRAPAP
The Andhra Sugars Limited,ANDHRSUGAR
Angel One Limited,ANGELONE
Anik Industries Limited,ANIKINDS
Anmol India Limited,ANMOL
Ansal Properties & Infrastructure Limited,ANSALAPI
Antarctica Limited,ANTGRAPHIC
Anuh Pharma Limited,ANUHPHR
The Anup Engineering Limited,ANUP
Anupam Rasayan India Limited,ANURAS
Apar Industries Limited,APARINDS
Anjani Portland Cement Limited,APCL
Apcotex Industries Limited,APCOTEXIND
Apex Frozen Foods Limited,APEX
APL Apollo Tubes Limited,APLAPOLLO
Alembic Pharmaceuticals Limited,APLLTD
Apollo Micro Systems Limited,APOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Pipes Limited,APOLLOPIPE
Apollo Tyres Limited,APOLLOTYRE
Apollo Sindoori Hotels Limited,APOLSINHOT
Aptech Limited,APTECHT
Aptus Value Housing Finance India Limited,APTUS
Archidply Industries Limited,ARCHIDPLY
Archies Limited,ARCHIES
Amara Raja Energy & Mobility Limited,ARE&M
Rajdarshan Industries Limited,ARENTERP
Aries Agro Limited,ARIES
Arihant Capital Markets Limited,ARIHANTCAP
Arihant Superstructures Limited,ARIHANTSUP
Arkade Developers Limited,ARKADE
Arman Financial Services Limited,ARMANFIN
Aro Granite Industries Limited,AROGRANITE
Arrow Greentech Limited,ARROWGREEN
Arshiya Limited,ARSHIYA
Artemis Medicare Services Limited,ARTEMISMED
Art Nirman Limited,ARTNIRMAN
Arvee Laboratories (India) Limited,ARVEE
Arvind Limited,ARVIND
Arvind Fashions Limited,ARVINDFASN
Arvind SmartSpaces Limited,ARVSMART
Asahi India Glass Limited,ASAHIINDIA
Asahi Songwon Colors Limited,ASAHISONG
Automotive Stampings and Assemblies Limited,ASAL
Associated Alcohols & Breweries Ltd.,ASALCBR
Ashapura Minechem Limited,ASHAPURMIN
Ashiana Housing Limited,ASHIANA
Ashima Limited,ASHIMASYN
Ashoka Buildcon Limited,ASHOKA
Ashoka Metcast Limited,ASHOKAMET
Ashok Leyland Limited,ASHOKLEY
Asian Energy Services Limited,ASIANENE
Asian Hotels (North) Limited,ASIANHOTNR
Asian Paints Limited,ASIANPAINT
Asian Granito India Limited,ASIANTILES
ASK Automotive Limited,ASKAUTOLTD
Bartronics India Limited,ASMS
Aspinwall and Company Limited,ASPINWALL
Astec LifeSciences Limited,ASTEC
Aster DM Healthcare Limited,ASTERDM
Astral Limited,ASTRAL
Astra Microwave Products Limited,ASTRAMICRO
AstraZeneca Pharma India Limited,ASTRAZEN
Astron Paper & Board Mill Limited,ASTRON
Atal Realtech Limited,ATALREAL
Atam Valves Limited,ATAM
Adani Total Gas Limited,ATGL
Allcargo Terminals Limited,ATL
ATLANTAA LIMITED,ATLANTAA
Atlas Cycles (Haryana) Limited,ATLASCYCLE
Atul Limited,ATUL
Atul Auto Limited,ATULAUTO
AU Small Finance Bank Limited,AUBANK
Aurionpro Solutions Limited,AURIONPRO
Aurobindo Pharma Limited,AUROPHARMA
Aurum PropTech Limited,AURUM
Ausom Enterprise Limited,AUSOMENT
Automotive Axles Limited,AUTOAXLES
Autoline Industries Limited,AUTOIND
Avadh Sugar & Energy Limited,AVADHSUGAR
Avalon Technologies Limited,AVALON
Avantel Limited,AVANTEL
Avanti Feeds Limited,AVANTIFEED
AVG Logistics Limited,AVG
Aditya Vision Limited,AVL
Avonmore Capital & Management Services Limited,AVONMORE
AVRO INDIA LIMITED,AVROIND
AVT Natural Products Limited,AVTNPL
Awfis Space Solutions Limited,AWFIS
Antony Waste Handling Cell Limited,AWHCL
Adani Wilmar Limited,AWL
Axis Bank Limited,AXISBANK
AXISCADES Technologies Limited,AXISCADES
Axita Cotton Limited,AXITA
AYM Syntex Limited,AYMSYNTEX
Azad Engineering Limited,AZAD
Bafna Pharmaceuticals Limited,BAFNAPH
B.A.G Films and Media Limited,BAGFILMS
Baid Finserv Limited,BAIDFIN
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Healthcare Limited,BAJAJHCARE
Bajaj Housing Finance Limited,BAJAJHFL
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Indef Manufacturing Limited,BAJAJINDEF
Bajel Projects Limited,BAJEL
Bajaj Finance Limited,BAJFINANCE
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE
Balaji Telefilms Limited,BALAJITELE
Balaji Amines Limited,BALAMINES
BALAXI PHARMACEUTICALS LIMITED,BALAXI
Balkrishna Paper Mills Limited,BALKRISHNA
Balkrishna Industries Limited,BALKRISIND
Balmer Lawrie & Company Limited,BALMLAWRIE
Bal Pharma Limited,BALPHARMA
Balrampur Chini Mills Limited,BALRAMCHIN
Balu Forge Industries Limited,BALUFORGE
Banaras Beads Limited,BANARBEADS
Bannari Amman Sugars Limited,BANARISUG
Banco Products (I) Limited,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK
Bang Overseas Limited,BANG
Banka BioLoo Limited,BANKA
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bansal Wire Industries Limited,BANSALWIRE
Banswara Syntex Limited,BANSWRAS
Barbeque Nation Hospitality Limited,BARBEQUE
BASF India Limited,BASF
Bannari Amman Spinning Mills Limited,BASML
Bata India Limited,BATAINDIA
Bayer Cropscience Limited,BAYERCROP
Bharat Bijlee Limited,BBL
Black Box Limited,BBOX
Bombay Burmah Trading Corporation Limited,BBTC
B&B Triplewall Containers Limited,BBTCL
Bcl Industries Limited,BCLIND
Brand Concepts Limited,BCONCEPTS
Bharat Dynamics Limited,BDL
Beardsell Limited,BEARDSELL
Mrs. Bectors Food Specialities Limited,BECTORFOOD
Bedmutha Industries Limited,BEDMUTHA
Bharat Electronics Limited,BEL
BEML Limited,BEML
Bhansali Engineering Polymers Limited,BEPL
Berger Paints (I) Limited,BERGEPAINT
Best Agrolife Limited,BESTAGRO
BF Investment Limited,BFINVEST
BF Utilities Limited,BFUTILITIE
