G-TEC JAINX EDUCATION LIMITED,GTECJAINX
GTL Limited,GTL
GTL Infrastructure Limited,GTLINFRA
GTPL Hathway Limited,GTPL
Gufic Biosciences Limited,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Gas Limited,GUJGASLTD
Gujarat Raffia Industries Limited,GUJRAFFIA
Gujarat Themis Biosyn Limited,GUJTHEM
Gulf Oil Lubricants India Limited,GULFOILLUB
GP Petroleums Limited,GULFPETRO
Gulshan Polyols Limited,GULPOLY
GVK Power & Infrastructure Limited,GVKPIL
GVP Infotech Limited,GVPTECH
GE Vernova T&D India Limited,GVT&D
Hindustan Aeronautics Limited,HAL
Happiest Minds Technologies Limited,HAPPSTMNDS
Happy Forgings Limited,HAPPYFORGE
Hardwyn India Limited,HARDWYN
Hariom Pipe Industries Limited,HARIOMPIPE
Harrisons  Malayalam Limited,HARRMALAYA
Harsha Engineers International Limited,HARSHA
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
HBL Engineering Limited,HBLENGINE
HB Stockholdings Limited,HBSL
Hindustan Construction Company Limited,HCC
Healthcare Global Enterprises Limited,HCG
HCL Infosystems Limited,HCL-INSYS
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Housing Development and Infrastructure Limited,HDIL
Heads UP Ventures Limited,HEADSUP
HEC Infra Projects Limited,HECPROJECT
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Hemisphere Properties India Limited,HEMIPROP
Heranba Industries Limited,HERANBA
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Heubach Colorants India Limited,HEUBACHIND
Hexa Tradex Limited,HEXATRADEX
Hexaware Technologies Limited,HEXT
HFCL Limited,HFCL
H.G. Infra Engineering Limited,HGINFRA
Hinduja Global Solutions Limited,HGS
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himatsingka Seide Limited,HIMATSEIDE
Hindalco Industries Limited,HINDALCO
Hindustan Composites Limited,HINDCOMPOS
Hindcon Chemicals Limited,HINDCON
