Pidilite Industries Limited,PIDILITIND
Power & Instrumentation (Gujarat) Limited,PIGL
PI Industries Limited,PIIND
Pilani Investment and Industries Corporation Limited,PILANIINVS
PIL ITALICA LIFESTYLE LIMITED,PILITA
Pioneer Embroideries Limited,PIONEEREMB
Pitti Engineering Limited,PITTIENG
Pix Transmissions Limited,PIXTRANS
The Peria Karamalai Tea & Produce Company Limited,PKTEA
Plastiblends India Limited,PLASTIBLEN
Platinum Industries Limited,PLATIND
Plaza Wires Limited,PLAZACABLE
Punjab National Bank,PNB
PNB Gilts Limited,PNBGILTS
PNB Housing Finance Limited,PNBHOUSING
Pritish Nandy Communications Limited,PNC
PNC Infratech Limited,PNCINFRA
P N Gadgil Jewellers Limited,PNGJL
Pondy Oxides & Chemicals Limited,POCL
Poddar Pigments Limited,PODDARMENT
Pokarna Limited,POKARNA
PB Fintech Limited,POLICYBZR
Polycab India Limited,POLYCAB
Poly Medicure Limited,POLYMED
Polyplex Corporation Limited,POLYPLEX
Ponni Sugars (Erode) Limited,PONNIERODE
Poonawalla Fincorp Limited,POONAWALLA
Power Grid Corporation of India Limited,POWERGRID
Hitachi Energy India Limited,POWERINDIA
Power Mech Projects Limited,POWERMECH
PPAP Automotive Limited,PPAP
Prakash Pipes Limited,PPL
Piramal Pharma Limited,PPLPHARMA
Prabha Energy Limited,PRABHA
Prajay Engineers Syndicate Limited,PRAENG
Praj Industries Limited,PRAJIND
Prakash Industries Limited,PRAKASH
Prakash Steelage Limited,PRAKASHSTL
Praxis Home Retail Limited,PRAXIS
Precision Camshafts Limited,PRECAM
Precot Limited,PRECOT
Precision Wires India Limited,PRECWIRE
Premier Explosives Limited,PREMEXPLN
Premier Limited,PREMIER
Premier Energies Limited,PREMIERENE
Premier Polyfilm Limited,PREMIERPOL
Prestige Estates Projects Limited,PRESTIGE
Pricol Limited,PRICOLLTD
Prime Securities Limited,PRIMESECU
Prince Pipes And Fittings Limited,PRINCEPIPE
Priti International Limited,PRITI
Pritika Auto Industries Limited,PRITIKAUTO
Privi Speciality Chemicals Limited,PRIVISCL
Protean eGov Technologies Limited,PROTEAN
Prozone Realty Limited,PROZONER
Prism Johnson Limited,PRSMJOHNSN
Prudent Corporate Advisory Services Limited,PRUDENT
Prudential Sugar Corporation Limited,PRUDMOULI
Punjab & Sind Bank,PSB
PSP Projects Limited,PSPPROJECT
PTC India Limited,PTC
PTC Industries Limited,PTCIL
PTL Enterprises Limited,PTL
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
Puravankara Limited,PURVA
PVP Ventures Limited,PVP
PVR INOX Limited,PVRINOX
Popular Vehicles and Services Limited,PVSL
Pyramid Technoplast Limited,PYRAMID
Quality Power Electrical Equipments Limited,QPOWER
Quadrant Future Tek Limited,QUADFUTURE
Quess Corp Limited,QUESS
Quick Heal Technologies Limited,QUICKHEAL
Race Eco Chain Limited,RACE
RACL Geartech Limited,RACLGEAR
Radaan Mediaworks India Limited,RADAAN
Radhika Jeweltech Limited,RADHIKAJWE
Radiant Cash Management Services Limited,RADIANTCMS
Radico Khaitan Limited,RADICO
Music Broadcast Limited,RADIOCITY
Railtel Corporation Of India Limited,RAILTEL
Rain Industries Limited,RAIN
Rainbow Childrens Medicare Limited,RAINBOW
Rajesh Exports Limited,RAJESHEXPO
Rajnandini Metal Limited,RAJMET
Rajratan Global Wire Limited,RAJRATAN
Raj Rayon Industries Limited,RAJRILTD
Rajshree Sugars & Chemicals Limited,RAJSREESUG
Raj Television Network Limited,RAJTV
Rallis India Limited,RALLIS
Shree Rama Newsprint Limited,RAMANEWS
Rama Phosphates Limited,RAMAPHO
Rama Steel Tubes Limited,RAMASTEEL
The Ramco Cements Limited,RAMCOCEM
Ramco Industries Limited,RAMCOIND
Ramco Systems Limited,RAMCOSYS
Ramky Infrastructure Limited,RAMKY
Ram Ratna Wires Limited,RAMRAT
Rana Sugars Limited,RANASUG
